latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-117.42999,520.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2011-04-23,7.2,15.0,102
2011-04-24,15.3,30.0,172
2011-04-25,19.4,30.2,208
2011-04-26,19.4,33.6,238
2011-04-27,19.1,34.0,206
2011-04-28,19.3,34.4,239
2011-04-29,15.5,27.3,267
2011-04-30,12.2,24.4,248
2011-05-01,8.3,18.3,191
2011-05-02,21.0,36.0,196
2011-05-03,16.4,29.3,242
2011-05-04,10.4,20.4,203
2011-05-05,15.6,29.8,236
2011-05-06,13.3,24.8,205
2011-05-07,15.0,27.7,209
2011-05-08,9.8,18.1,214
2011-05-09,8.4,17.0,289
2011-05-10,8.6,19.9,210
2011-05-11,17.7,29.3,164
2011-05-12,13.2,29.3,199
2011-05-13,13.8,26.4,50
2011-05-14,21.7,38.7,66
2011-05-15,17.8,33.8,103
2011-05-16,20.1,33.6,218
2011-05-17,10.8,21.0,197
2011-05-18,11.3,20.4,7
2011-05-19,7.3,13.2,331
2011-05-20,10.7,22.6,40
2011-05-21,10.9,19.7,245
2011-05-22,11.2,21.5,203
2011-05-23,12.1,19.9,219
2011-05-24,13.4,23.9,200
2011-05-25,13.0,25.3,107
2011-05-26,23.0,40.7,231
2011-05-27,14.6,29.1,223
2011-05-28,10.9,20.4,208
2011-05-29,13.5,28.0,28
2011-05-30,7.4,19.7,189
2011-05-31,10.4,22.8,106
2011-06-01,9.6,18.6,217
2011-06-02,18.9,35.1,231
2011-06-03,13.7,24.6,210
2011-06-04,7.3,16.3,73
2011-06-05,6.6,11.4,26
2011-06-06,10.4,14.8,163
2011-06-07,17.3,31.8,210
2011-06-08,11.9,20.1,201
2011-06-09,6.7,14.8,238
2011-06-10,6.2,13.0,152
2011-06-11,10.1,19.7,202
2011-06-12,11.0,22.8,190
2011-06-13,16.7,30.4,228
2011-06-14,13.0,25.1,225
2011-06-15,17.4,32.9,247
2011-06-16,16.7,29.5,258
2011-06-17,11.3,23.9,205
2011-06-18,15.4,28.0,212
2011-06-19,14.9,28.0,225
2011-06-20,10.9,21.0,201
2011-06-21,9.6,20.4,178
2011-06-22,6.6,15.4,134
2011-06-23,17.8,32.9,223
2011-06-24,14.0,28.9,238
2011-06-25,12.3,25.9,235
2011-06-26,5.7,15.9,165
2011-06-27,8.8,18.8,80
2011-06-28,18.2,32.9,220
2011-06-29,20.1,37.6,230
2011-06-30,18.2,34.0,240
2011-07-01,9.0,20.6,232
2011-07-02,7.5,15.0,96
2011-07-03,17.6,32.7,241
2011-07-04,7.5,17.2,254
2011-07-05,6.5,17.4,220
2011-07-06,6.9,16.3,196
2011-07-07,20.8,36.5,218
2011-07-08,19.0,35.1,246
2011-07-09,10.5,22.1,240
2011-07-10,5.7,17.9,175
2011-07-11,6.1,15.9,206
2011-07-12,11.2,21.5,208
2011-07-13,11.8,24.2,196
2011-07-14,15.4,31.1,213
2011-07-15,10.0,21.0,196
2011-07-16,10.8,20.6,120
2011-07-17,10.0,18.3,176
2011-07-18,10.5,18.8,245
2011-07-19,17.9,33.1,238
2011-07-20,12.9,24.6,220
2011-07-21,15.9,30.9,218
2011-07-22,11.7,23.7,230
2011-07-23,9.2,20.1,186
2011-07-24,8.6,16.8,59
2011-07-25,18.1,30.9,294
2011-07-26,13.6,26.4,237
2011-07-27,11.6,24.8,233
2011-07-28,8.7,21.9,213
2011-07-29,14.1,27.1,228
2011-07-30,10.3,20.4,189
2011-07-31,14.3,26.6,226
2011-08-01,9.0,19.9,242
2011-08-02,14.0,26.4,220
2011-08-03,9.3,20.8,221
2011-08-04,5.9,12.3,206
2011-08-05,13.9,26.8,222
2011-08-06,12.2,24.4,220
2011-08-07,11.3,23.0,215
2011-08-08,9.3,20.6,203
2011-08-09,10.9,22.6,204
2011-08-10,11.5,23.7,205
2011-08-11,10.4,21.3,218
2011-08-12,6.3,16.3,169
2011-08-13,10.8,20.8,209
2011-08-14,12.4,24.2,217
2011-08-15,14.0,26.2,228
2011-08-16,7.9,19.5,201
2011-08-17,13.3,25.9,227
2011-08-18,10.0,21.3,260
2011-08-19,7.6,13.0,24
2011-08-20,8.8,18.1,24
2011-08-21,6.7,15.9,198
2011-08-22,16.8,30.9,229
2011-08-23,13.3,26.4,223
2011-08-24,10.5,21.7,199
2011-08-25,8.1,18.8,233
2011-08-26,6.5,15.7,266
2011-08-27,10.2,20.6,232
2011-08-28,5.5,12.3,70
2011-08-29,15.0,28.2,211
2011-08-30,13.3,25.9,225
2011-08-31,12.9,26.8,224
2011-09-01,13.5,24.6,216
2011-09-02,12.8,22.8,292
2011-09-03,8.9,18.3,36
2011-09-04,6.9,14.5,114
2011-09-05,7.9,16.3,219
2011-09-06,6.7,15.9,228
2011-09-07,7.5,15.4,56
2011-09-08,8.2,14.8,24
2011-09-09,6.5,12.5,23
2011-09-10,7.5,14.8,38
2011-09-11,7.8,15.2,270
2011-09-12,11.9,23.0,217
2011-09-13,10.4,19.5,214
2011-09-14,7.8,17.4,172
2011-09-15,16.6,30.6,209
2011-09-16,13.9,26.6,221
2011-09-17,15.4,28.9,221
2011-09-18,14.6,27.3,205
2011-09-19,16.4,28.9,266
2011-09-20,7.8,14.8,48
2011-09-21,6.6,11.6,130
2011-09-22,14.4,26.2,196
2011-09-23,12.3,23.5,189
2011-09-24,10.0,15.0,114
2011-09-25,23.5,40.9,212
2011-09-26,13.4,27.5,185
2011-09-27,15.4,29.1,228
2011-09-28,9.9,18.6,274
2011-09-29,10.7,16.6,61
2011-09-30,6.5,12.8,76
2011-10-01,17.0,30.6,211
2011-10-02,8.4,16.3,175
2011-10-03,10.9,21.9,237
2011-10-04,10.8,20.4,174
2011-10-05,10.6,19.7,170
2011-10-06,11.2,22.1,227
2011-10-07,16.8,29.8,248
2011-10-08,8.1,17.4,175
2011-10-09,5.5,10.3,137
2011-10-10,13.7,30.0,173
2011-10-11,24.3,44.3,224
2011-10-12,16.1,28.9,228
2011-10-13,5.6,12.5,212
2011-10-14,7.6,14.1,56
2011-10-15,6.3,10.3,36
2011-10-16,7.0,15.2,340
2011-10-17,7.4,16.6,148
2011-10-18,9.6,19.0,55
2011-10-19,8.3,17.2,174
2011-10-20,11.5,21.0,207
2011-10-21,13.6,27.5,206
2011-10-22,16.8,33.6,222
2011-10-23,14.6,24.4,241
2011-10-24,12.2,23.7,277
2011-10-25,5.7,12.1,290
2011-10-26,11.2,20.4,195
2011-10-27,5.9,12.3,235
2011-10-28,16.7,24.8,171
2011-10-29,14.4,26.8,248
2011-10-30,13.0,19.2,182
2011-10-31,18.5,30.0,263
2011-11-01,10.9,21.0,289
2011-11-02,13.4,25.1,136
2011-11-03,11.1,18.3,188
2011-11-04,8.8,18.6,296
2011-11-05,9.5,18.6,186
2011-11-06,5.7,10.1,77
2011-11-07,11.7,20.8,195
2011-11-08,9.4,17.9,191
2011-11-09,8.5,15.4,103
2011-11-10,8.9,17.4,184
2011-11-11,20.3,35.8,203
2011-11-12,19.7,36.5,229
2011-11-13,22.2,38.3,241
2011-11-14,23.1,40.5,255
2011-11-15,15.5,28.0,275
2011-11-16,14.6,23.3,120
2011-11-17,21.5,47.0,217
2011-11-18,11.5,21.5,221
2011-11-19,10.8,19.0,50
2011-11-20,5.4,8.7,71
2011-11-21,16.2,27.7,176
2011-11-22,23.6,49.2,189
2011-11-23,23.0,39.4,199
2011-11-24,20.8,36.9,203
2011-11-25,23.4,38.0,243
2011-11-26,11.0,17.0,133
2011-11-27,22.0,37.8,195
2011-11-28,10.5,20.4,200
2011-11-29,8.3,13.6,179
2011-11-30,11.3,20.1,310
2011-12-01,8.3,16.1,187
2011-12-02,12.6,20.8,301
2011-12-03,10.1,18.3,226
2011-12-04,12.3,21.7,55
2011-12-05,6.4,13.2,175
2011-12-06,7.1,13.9,162
2011-12-07,6.4,7.4,230
2011-12-08,5.6,10.1,207
2011-12-09,6.3,9.6,60
2011-12-10,6.1,13.0,150
2011-12-11,4.0,7.4,17
2011-12-12,4.7,10.7,325
2011-12-13,4.6,8.3,19
2011-12-14,5.2,9.2,104
2011-12-15,6.8,13.9,203
2011-12-16,7.4,13.9,169
2011-12-17,6.5,11.2,142
2011-12-18,6.7,11.4,222
2011-12-19,5.6,12.3,149
2011-12-20,7.4,15.9,210
2011-12-21,7.8,15.2,285
2011-12-22,6.2,10.5,120
2011-12-23,6.2,12.8,159
2011-12-24,5.6,9.8,114
2011-12-25,22.3,36.9,199
2011-12-26,16.7,30.4,194
2011-12-27,19.6,29.5,193
2011-12-28,27.6,44.7,212
2011-12-29,26.9,47.0,222
2011-12-30,19.4,34.9,227
2011-12-31,17.9,29.8,226
2012-01-01,10.9,18.8,64
2012-01-02,14.7,25.5,117
2012-01-03,15.9,26.2,185
2012-01-04,16.6,29.8,170
2012-01-05,22.5,39.4,235
2012-01-06,8.9,15.7,187
2012-01-07,6.7,13.2,197
2012-01-08,6.8,13.2,155
2012-01-09,7.5,14.1,166
2012-01-10,15.0,26.6,293
2012-01-11,7.1,11.9,37
2012-01-12,5.5,10.7,54
2012-01-13,5.9,10.1,96
2012-01-14,19.6,36.7,221
2012-01-15,13.6,23.7,216
2012-01-16,17.2,30.0,217
2012-01-17,26.5,44.7,221
2012-01-18,13.7,24.8,1
2012-01-19,9.3,14.5,26
2012-01-20,12.2,21.3,96
2012-01-21,20.2,32.9,216
2012-01-22,16.5,29.5,172
2012-01-23,13.5,23.5,212
2012-01-24,20.6,43.4,148
2012-01-25,26.0,41.6,230
2012-01-26,22.1,36.2,237
2012-01-27,12.4,22.8,224
2012-01-28,10.5,18.8,183
2012-01-29,18.2,29.5,200
2012-01-30,22.5,38.5,234
2012-01-31,11.4,21.0,192
2012-02-01,15.9,26.4,199
2012-02-02,8.0,11.4,72
2012-02-03,11.2,20.1,56
2012-02-04,9.4,17.2,60
2012-02-05,8.4,14.8,52
2012-02-06,14.7,26.4,55
2012-02-07,15.1,27.1,58
2012-02-08,7.8,13.6,98
2012-02-09,6.7,11.4,56
2012-02-10,9.9,15.7,52
2012-02-11,8.2,15.9,45
2012-02-12,10.2,19.2,211
2012-02-13,7.7,13.4,299
2012-02-14,6.4,15.4,199
2012-02-15,6.2,15.2,222
2012-02-16,9.5,17.0,143
2012-02-17,11.5,17.7,104
2012-02-18,21.2,38.9,214
2012-02-19,16.1,28.6,231
2012-02-20,7.4,15.7,197
2012-02-21,21.6,38.0,228
2012-02-22,31.5,55.0,256
2012-02-23,15.0,27.5,246
2012-02-24,13.2,23.5,163
2012-02-25,24.6,43.6,232
2012-02-26,17.1,28.4,227
2012-02-27,7.9,15.7,30
2012-02-28,11.6,18.1,98
2012-02-29,20.2,33.1,191
2012-03-01,14.5,23.9,247
2012-03-02,17.5,28.4,229
2012-03-03,22.4,38.5,231
2012-03-04,15.1,26.8,213
2012-03-05,22.1,38.0,220
2012-03-06,15.6,27.1,274
2012-03-07,11.5,22.4,233
2012-03-08,7.4,14.3,132
2012-03-09,17.3,30.9,193
2012-03-10,16.6,29.8,205
2012-03-11,25.4,49.2,209
2012-03-12,18.7,32.7,157
