latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,-122.63736,13.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-09-10,5.4,10.1,286
2010-09-11,5.0,13.6,357
2010-09-12,6.7,16.1,340
2010-09-13,6.3,16.1,351
2010-09-14,4.6,10.7,355
2010-09-15,9.0,21.9,205
2010-09-16,9.6,21.7,187
2010-09-17,7.6,20.8,190
2010-09-18,7.4,19.7,153
2010-09-19,11.4,31.8,200
2010-09-20,11.1,23.5,216
2010-09-21,4.9,15.0,6
2010-09-22,4.8,13.0,261
2010-09-23,7.8,19.2,185
2010-09-24,7.7,19.0,171
2010-09-25,5.0,14.1,233
2010-09-26,7.8,16.3,194
2010-09-27,6.3,11.2,185
2010-09-28,7.0,14.3,352
2010-09-29,8.1,18.6,357
2010-09-30,6.5,16.8,354
2010-10-01,7.4,17.7,246
2010-10-02,5.5,14.3,341
2010-10-03,5.6,11.4,300
2010-10-04,5.4,16.6,315
2010-10-05,10.5,23.5,357
2010-10-06,7.4,16.1,1
2010-10-07,11.7,26.2,210
2010-10-08,10.2,23.5,190
2010-10-09,10.8,21.7,176
2010-10-10,10.5,22.8,275
2010-10-11,5.8,13.2,6
2010-10-12,6.1,14.8,359
2010-10-13,5.7,11.2,352
2010-10-14,7.6,15.4,301
2010-10-15,10.8,23.0,4
2010-10-16,7.6,17.2,350
2010-10-17,7.0,17.2,351
2010-10-18,6.0,13.6,357
2010-10-19,7.4,17.4,358
2010-10-20,5.4,10.3,343
2010-10-21,8.8,19.7,196
2010-10-22,7.6,17.4,184
2010-10-23,13.1,28.4,159
2010-10-24,16.9,50.3,210
2010-10-25,15.7,39.6,211
2010-10-26,12.6,31.3,204
2010-10-27,6.9,16.6,72
2010-10-28,5.2,19.7,79
2010-10-29,3.9,10.1,21
2010-10-30,12.1,37.8,180
2010-10-31,13.0,36.0,186
2010-11-01,14.8,36.5,201
2010-11-02,9.6,18.3,11
2010-11-03,7.8,15.7,11
2010-11-04,5.7,11.4,332
2010-11-05,5.6,11.0,298
2010-11-06,10.5,34.4,189
2010-11-07,9.3,20.4,212
2010-11-08,7.3,19.7,202
2010-11-09,11.9,31.1,173
2010-11-10,8.6,18.3,98
2010-11-11,9.1,20.4,195
2010-11-12,4.6,8.7,232
2010-11-13,4.9,13.4,192
2010-11-14,6.0,13.0,208
2010-11-15,14.0,28.9,215
2010-11-16,14.4,31.5,250
2010-11-17,17.6,36.9,200
2010-11-18,11.1,27.5,206
2010-11-19,17.7,40.0,184
2010-11-20,8.6,19.7,95
2010-11-21,8.6,21.5,251
2010-11-22,13.6,27.1,235
2010-11-23,6.8,17.7,25
2010-11-24,3.9,11.6,103
2010-11-25,3.6,8.9,171
2010-11-26,13.7,28.6,186
2010-11-27,5.3,13.0,233
2010-11-28,4.9,14.3,214
2010-11-29,8.2,15.0,162
2010-11-30,13.3,29.1,183
2010-12-01,5.5,13.2,288
2010-12-02,4.2,10.3,235
2010-12-03,10.0,22.4,26
2010-12-04,8.5,20.4,25
2010-12-05,8.4,18.3,16
2010-12-06,7.7,16.3,17
2010-12-07,6.5,28.9,46
2010-12-08,12.3,32.9,181
2010-12-09,13.0,34.4,202
2010-12-10,7.8,16.1,211
2010-12-11,13.6,31.1,171
2010-12-12,15.3,33.1,202
2010-12-13,13.7,33.8,193
2010-12-14,18.4,48.1,215
2010-12-15,10.3,26.4,187
2010-12-16,5.8,13.4,108
2010-12-17,11.1,20.8,45
