latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-122.436554,23.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-09-28,7.3,16.6,210
2010-09-29,4.3,10.3,340
2010-09-30,4.5,13.0,33
2010-10-01,5.3,13.0,121
2010-10-02,4.6,10.5,214
2010-10-03,4.0,11.4,170
2010-10-04,5.0,13.0,183
2010-10-05,4.8,11.6,321
2010-10-06,4.3,7.6,3
2010-10-07,4.8,8.9,163
2010-10-08,4.5,12.1,77
2010-10-09,9.9,27.1,122
2010-10-10,12.7,32.2,190
2010-10-11,7.7,18.3,168
2010-10-12,4.8,9.6,50
2010-10-13,4.8,11.4,48
2010-10-14,6.1,14.1,165
2010-10-15,6.2,11.2,237
2010-10-16,4.3,10.3,353
2010-10-17,3.8,9.6,31
2010-10-18,3.6,6.5,70
2010-10-19,3.8,6.9,41
2010-10-20,4.5,8.1,46
2010-10-21,4.0,8.1,65
2010-10-22,6.5,17.2,121
2010-10-23,7.4,30.9,72
2010-10-24,10.9,28.6,148
2010-10-25,11.9,28.2,146
2010-10-26,8.7,20.6,133
2010-10-27,6.4,15.9,45
2010-10-28,8.6,16.3,52
2010-10-29,6.1,11.6,74
2010-10-30,6.5,13.2,74
2010-10-31,10.3,23.3,157
2010-11-01,11.0,23.0,151
2010-11-02,7.6,17.7,94
2010-11-03,8.5,16.8,51
2010-11-04,6.0,11.4,70
2010-11-05,4.0,9.6,197
2010-11-06,7.1,22.1,67
2010-11-07,11.0,26.6,173
2010-11-08,6.0,14.8,148
2010-11-09,7.6,16.3,44
2010-11-10,5.1,8.7,29
2010-11-11,6.1,16.1,92
2010-11-12,4.8,13.2,143
2010-11-13,4.0,9.8,28
2010-11-14,3.5,7.6,276
2010-11-15,15.1,37.1,196
2010-11-16,10.6,27.3,200
2010-11-17,11.5,31.5,154
2010-11-18,5.4,12.5,93
2010-11-19,13.3,27.5,46
2010-11-20,14.0,32.0,46
2010-11-21,10.2,21.9,37
2010-11-22,16.2,43.2,41
2010-11-23,12.9,33.1,34
2010-11-24,4.0,9.2,110
2010-11-25,6.0,22.6,46
2010-11-26,12.0,25.5,125
2010-11-27,5.3,8.9,79
2010-11-28,4.7,7.4,94
2010-11-29,6.7,14.5,66
2010-11-30,7.3,15.0,106
2010-12-01,4.9,9.8,94
2010-12-02,4.3,9.4,65
2010-12-03,6.4,9.6,48
2010-12-04,9.3,21.9,41
2010-12-05,9.0,17.7,46
2010-12-06,9.4,15.9,53
2010-12-07,8.4,18.1,58
2010-12-08,10.5,30.6,138
2010-12-09,9.0,22.6,139
2010-12-10,5.5,13.4,134
2010-12-11,7.6,15.7,52
2010-12-12,7.7,22.4,127
2010-12-13,6.8,19.0,78
2010-12-14,14.2,37.6,175
2010-12-15,7.9,16.3,127
2010-12-16,7.3,13.0,54
2010-12-17,7.8,16.8,50
2010-12-18,10.8,25.5,54
2010-12-19,8.7,17.4,48
2010-12-20,9.2,27.7,54
2010-12-21,7.9,25.3,58
2010-12-22,7.8,22.8,68
2010-12-23,7.9,35.8,64
2010-12-24,8.1,19.0,57
2010-12-25,7.8,17.4,62
2010-12-26,11.2,27.7,156
2010-12-27,9.7,21.9,161
2010-12-28,7.4,19.5,232
2010-12-29,5.2,9.6,303
2010-12-30,6.5,14.1,22
2010-12-31,4.8,11.0,33
2011-01-01,4.3,6.7,18
2011-01-02,4.9,6.9,24
2011-01-03,4.1,6.7,22
2011-01-04,2.7,5.8,46
2011-01-05,3.7,10.1,59
2011-01-06,4.5,8.5,71
2011-01-07,13.0,28.9,176
2011-01-08,5.7,12.8,170
2011-01-09,8.9,21.3,37
2011-01-10,8.2,17.9,42
2011-01-11,8.4,19.2,42
2011-01-12,9.7,40.5,118
2011-01-13,8.7,18.3,136
2011-01-14,11.5,26.2,177
2011-01-15,8.1,23.3,164
2011-01-16,10.7,28.2,184
2011-01-17,10.8,23.9,206
2011-01-18,5.6,12.3,238
2011-01-19,3.9,9.6,220
2011-01-20,3.2,8.7,26
2011-01-21,6.9,15.2,80
