latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-10-18,3.8,8.5,35
2010-10-19,5.8,13.2,26
2010-10-20,4.8,11.6,38
2010-10-21,7.1,15.4,165
2010-10-22,8.7,21.5,179
2010-10-23,9.1,31.3,132
2010-10-24,14.9,34.0,177
2010-10-25,17.8,40.0,194
2010-10-26,14.4,30.2,177
2010-10-27,7.8,16.8,121
2010-10-28,7.0,15.0,106
2010-10-29,6.2,12.8,150
2010-10-30,11.6,26.2,137
2010-10-31,11.5,27.3,181
2010-11-01,10.6,32.0,174
2010-11-02,8.7,16.8,57
2010-11-03,7.1,16.1,49
2010-11-04,6.6,12.8,140
2010-11-05,5.0,8.5,359
2010-11-06,13.7,29.8,169
2010-11-07,10.9,26.4,199
2010-11-08,9.4,22.1,192
2010-11-09,8.4,23.3,124
2010-11-10,4.3,11.2,38
2010-11-11,11.3,23.0,169
2010-11-12,7.3,15.4,164
2010-11-13,6.3,13.2,159
2010-11-14,7.7,15.9,192
2010-11-15,19.5,41.6,206
2010-11-16,13.3,33.3,207
2010-11-17,17.6,36.9,187
2010-11-18,12.2,26.8,186
2010-11-19,11.1,24.2,129
2010-11-20,10.8,25.1,16
2010-11-21,7.6,15.9,9
2010-11-22,14.1,29.5,14
2010-11-23,14.0,28.4,351
2010-11-24,6.2,13.9,152
2010-11-25,8.3,16.6,158
2010-11-26,13.0,28.9,170
2010-11-27,7.9,17.2,165
2010-11-28,5.9,10.5,157
2010-11-29,7.5,13.6,132
2010-11-30,13.4,25.9,160
2010-12-01,7.2,16.8,171
2010-12-02,6.3,14.3,165
2010-12-03,8.3,14.5,66
2010-12-04,8.3,18.8,30
2010-12-05,6.2,15.0,46
2010-12-06,5.9,15.2,98
2010-12-07,12.8,25.1,113
2010-12-08,14.2,35.3,170
2010-12-09,13.3,30.9,187
2010-12-10,15.2,31.3,195
2010-12-11,10.3,21.3,122
2010-12-12,17.9,39.1,198
2010-12-13,10.4,21.9,172
2010-12-14,18.3,46.3,195
2010-12-15,9.8,21.7,179
2010-12-16,6.6,16.3,110
2010-12-17,9.9,21.0,89
2010-12-18,11.0,27.5,113
2010-12-19,6.8,16.6,86
2010-12-20,8.9,26.6,109
2010-12-21,10.5,25.7,108
2010-12-22,8.4,23.0,163
2010-12-23,9.6,29.8,124
2010-12-24,10.1,22.1,115
2010-12-25,9.0,18.8,124
2010-12-26,18.5,39.1,185
2010-12-27,12.4,29.3,177
2010-12-28,12.8,27.3,214
2010-12-29,7.2,17.4,260
2010-12-30,6.1,13.4,347
2010-12-31,5.9,14.1,80
2011-01-01,5.8,14.5,79
2011-01-02,5.4,12.8,42
2011-01-03,4.5,11.4,63
2011-01-04,6.1,13.4,168
2011-01-05,11.4,21.5,180
2011-01-06,10.1,20.4,188
2011-01-07,13.2,27.7,195
2011-01-08,8.1,17.4,190
2011-01-09,5.2,11.9,107
2011-01-10,8.1,17.4,90
2011-01-11,8.6,18.3,85
2011-01-12,17.0,37.6,171
2011-01-13,14.8,40.0,182
2011-01-14,16.9,36.5,203
2011-01-15,12.5,30.2,180
2011-01-16,19.2,39.1,208
2011-01-17,15.9,35.6,213
2011-01-18,8.6,19.5,193
2011-01-19,5.0,10.1,46
2011-01-20,10.7,23.3,181
2011-01-21,14.4,30.2,192
2011-01-22,7.6,15.9,180
2011-01-23,4.0,10.7,165
2011-01-24,8.4,20.8,182
2011-01-25,8.7,19.0,192
2011-01-26,4.5,10.1,133
2011-01-27,4.9,10.3,130
2011-01-28,11.6,26.2,187
2011-01-29,8.6,18.3,197
2011-01-30,7.4,15.0,7
2011-01-31,6.0,12.3,14
2011-02-01,5.6,11.6,51
2011-02-02,4.4,10.5,88
2011-02-03,10.0,20.8,180
2011-02-04,14.2,29.8,200
2011-02-05,5.8,15.7,173
2011-02-06,14.8,30.6,191
2011-02-07,14.2,30.6,210
2011-02-08,6.5,16.1,23
2011-02-09,4.0,7.8,66
2011-02-10,4.8,11.2,29
2011-02-11,6.4,13.2,144
2011-02-12,18.6,40.7,200
2011-02-13,13.3,29.5,187
2011-02-14,16.8,44.1,170
2011-02-15,11.7,29.3,173
2011-02-16,11.9,24.4,189
2011-02-17,9.6,22.4,192
2011-02-18,6.3,16.8,82
2011-02-19,12.9,29.3,8
2011-02-20,5.7,14.5,165
2011-02-21,10.3,20.1,188
2011-02-22,10.0,23.7,212
2011-02-23,12.4,27.5,202
2011-02-24,7.0,15.2,42
2011-02-25,9.6,24.4,22
2011-02-26,11.2,26.6,184
2011-02-27,16.8,35.1,194
2011-02-28,15.4,38.0,194
2011-03-01,7.7,16.3,124
2011-03-02,16.9,42.7,169
2011-03-03,12.5,28.6,190
2011-03-04,10.2,32.0,129
2011-03-05,9.3,21.3,189
2011-03-06,4.0,11.4,18
2011-03-07,6.6,13.6,127
2011-03-08,12.9,29.3,180
2011-03-09,17.0,45.4,162
2011-03-10,20.0,49.9,185
2011-03-11,11.5,29.3,179
2011-03-12,10.1,22.6,170
2011-03-13,15.2,38.3,136
2011-03-14,16.7,43.4,189
2011-03-15,14.7,35.1,175
2011-03-16,14.9,32.9,200
2011-03-17,7.8,22.6,163
2011-03-18,8.3,19.0,114
2011-03-19,5.7,15.4,158
2011-03-20,11.4,24.8,15
2011-03-21,10.5,24.8,190
2011-03-22,8.8,20.1,185
2011-03-23,7.6,19.9,82
2011-03-24,7.6,17.2,88
2011-03-25,10.3,19.5,178
2011-03-26,7.0,16.6,141
2011-03-27,9.0,22.1,167
2011-03-28,11.0,24.4,192
2011-03-29,10.9,24.6,184
2011-03-30,15.0,30.2,200
2011-03-31,15.8,33.1,210
2011-04-01,10.0,17.9,41
2011-04-02,10.2,20.8,211
2011-04-03,9.5,20.8,194
2011-04-04,12.1,25.3,196
2011-04-05,15.8,38.9,203
2011-04-06,13.7,28.0,202
