latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.572933,-120.53055,325.0,-25200,America/Los_Angeles,PDT

time,wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°)
2010-10-24,15.0,34.2,198
2010-10-25,15.0,34.4,208
2010-10-26,11.2,26.8,210
2010-10-27,7.2,17.2,49
2010-10-28,4.3,10.1,21
2010-10-29,4.8,9.6,49
2010-10-30,4.3,9.8,29
2010-10-31,7.9,18.6,189
2010-11-01,7.3,19.0,144
2010-11-02,5.7,14.1,328
2010-11-03,8.4,19.5,357
2010-11-04,4.8,10.3,18
2010-11-05,4.8,11.2,47
2010-11-06,5.2,13.6,140
2010-11-07,8.4,18.6,237
2010-11-08,6.9,18.3,262
2010-11-09,6.1,15.4,67
2010-11-10,4.2,11.9,293
2010-11-11,5.3,13.6,74
2010-11-12,6.3,12.3,278
2010-11-13,4.5,7.6,62
2010-11-14,6.8,15.4,255
2010-11-15,18.0,34.9,239
2010-11-16,19.5,43.0,263
2010-11-17,12.9,30.0,190
2010-11-18,11.7,25.5,214
2010-11-19,6.5,13.4,125
2010-11-20,10.7,23.5,17
2010-11-21,5.6,11.2,43
2010-11-22,10.5,27.5,54
2010-11-23,9.7,22.4,357
2010-11-24,5.2,11.4,38
2010-11-25,5.2,12.5,48
2010-11-26,5.8,12.3,44
2010-11-27,4.7,9.4,9
2010-11-28,5.5,11.6,333
2010-11-29,5.0,11.4,46
2010-11-30,5.9,12.8,61
2010-12-01,3.8,7.8,37
2010-12-02,4.7,8.5,35
2010-12-03,4.7,10.3,26
2010-12-04,7.2,15.0,353
2010-12-05,6.2,15.0,8
2010-12-06,4.7,9.4,31
2010-12-07,5.0,16.8,25
2010-12-08,6.3,25.5,154
2010-12-09,11.0,23.7,168
2010-12-10,11.2,25.9,235
2010-12-11,4.8,9.4,31
2010-12-12,8.9,23.7,156
2010-12-13,4.8,12.3,118
2010-12-14,14.9,34.9,208
2010-12-15,4.9,11.2,192
2010-12-16,4.5,11.2,24
2010-12-17,6.1,10.7,14
2010-12-18,6.2,14.5,16
2010-12-19,6.6,16.6,8
2010-12-20,4.7,11.2,48
2010-12-21,5.4,9.8,20
2010-12-22,5.2,8.7,28
2010-12-23,4.8,11.0,51
2010-12-24,4.4,8.1,21
2010-12-25,4.6,10.3,17
2010-12-26,14.0,31.8,197
2010-12-27,6.9,18.8,145
2010-12-28,5.1,13.6,106
2010-12-29,11.5,25.3,284
2010-12-30,5.7,15.0,338
2010-12-31,4.7,11.4,51
2011-01-01,5.2,11.2,42
2011-01-02,4.3,11.9,43
2011-01-03,5.0,10.5,52
2011-01-04,5.4,10.5,57
2011-01-05,5.2,10.7,69
2011-01-06,4.5,7.8,46
2011-01-07,6.2,12.5,165
2011-01-08,7.1,13.6,263
2011-01-09,7.0,15.2,4
2011-01-10,5.9,14.5,15
2011-01-11,5.7,13.6,19
2011-01-12,6.0,12.1,70
2011-01-13,5.8,19.0,141
2011-01-14,12.1,28.0,187
2011-01-15,6.7,19.7,147
2011-01-16,17.8,39.1,219
2011-01-17,19.2,44.1,247
2011-01-18,4.1,9.6,16
2011-01-19,5.9,9.8,73
2011-01-20,3.6,10.5,100
2011-01-21,13.3,28.6,300
2011-01-22,10.2,26.4,280
2011-01-23,5.4,13.0,324
2011-01-24,5.1,23.5,37
2011-01-25,6.0,9.6,2
2011-01-26,4.5,9.8,54
2011-01-27,4.8,10.7,54
2011-01-28,11.2,25.9,171
2011-01-29,4.6,12.5,209
2011-01-30,4.8,9.6,15
2011-01-31,4.8,13.4,19
2011-02-01,4.6,13.0,27
2011-02-02,4.6,10.5,43
2011-02-03,4.6,11.2,54
2011-02-04,6.8,15.7,252
2011-02-05,5.3,13.2,306
2011-02-06,6.5,14.5,72
2011-02-07,15.3,38.5,266
2011-02-08,7.5,16.6,346
2011-02-09,7.2,13.2,124
2011-02-10,6.8,11.4,72
2011-02-11,5.0,13.0,77
2011-02-12,19.0,42.7,208
2011-02-13,7.9,24.6,158
2011-02-14,11.6,26.6,169
2011-02-15,9.9,23.3,159
2011-02-16,8.5,17.0,215
2011-02-17,7.1,17.9,204
2011-02-18,5.2,12.1,33
2011-02-19,13.6,30.6,359
2011-02-20,5.5,11.0,359
2011-02-21,7.3,16.1,245
2011-02-22,13.2,29.8,247
2011-02-23,11.8,27.7,207
2011-02-24,12.0,32.2,32
2011-02-25,7.3,19.2,37
2011-02-26,5.7,14.3,154
2011-02-27,14.6,32.2,198
2011-02-28,15.2,40.3,193
2011-03-01,4.9,11.4,44
2011-03-02,11.5,28.0,203
2011-03-03,9.9,30.4,192
2011-03-04,4.9,12.3,14
2011-03-05,5.4,13.0,310
2011-03-06,5.1,11.4,347
2011-03-07,7.4,17.9,315
2011-03-08,12.3,26.8,227
2011-03-09,16.0,35.6,184
2011-03-10,17.6,41.4,209
2011-03-11,6.6,16.3,176
2011-03-12,9.8,22.1,158
2011-03-13,10.1,31.5,69
2011-03-14,13.3,33.6,198
2011-03-15,13.0,37.6,186
2011-03-16,12.0,28.9,225
2011-03-17,9.2,22.1,177
2011-03-18,9.7,20.6,31
2011-03-19,5.0,17.4,210
2011-03-20,10.8,24.8,10
2011-03-21,7.4,16.1,297
2011-03-22,7.0,17.4,240
2011-03-23,9.2,20.6,41
2011-03-24,7.1,20.6,24
2011-03-25,6.9,16.6,173
2011-03-26,6.4,15.0,19
2011-03-27,8.4,22.4,178
2011-03-28,7.6,19.9,240
2011-03-29,9.5,21.3,182
2011-03-30,12.6,27.7,219
2011-03-31,13.1,30.2,235
2011-04-01,10.7,25.5,228
2011-04-02,14.2,34.2,266
2011-04-03,7.1,15.9,254
2011-04-04,9.9,21.9,200
2011-04-05,12.2,29.5,238
2011-04-06,10.5,28.4,244
2011-04-07,6.1,15.9,324
2011-04-08,7.8,19.9,323
2011-04-09,8.8,20.4,288
2011-04-10,10.2,25.7,203
2011-04-11,13.1,28.6,253
2011-04-12,5.2,11.9,340
2011-04-13,12.3,29.5,243
2011-04-14,14.1,38.5,204
2011-04-15,6.1,13.0,134
2011-04-16,14.3,29.1,235
